experiment,model,workload,label,status,gt_e2e_ms,blis_e2e_ms,e2e_error,ttft_error,itl_error,alpha0,beta0,beta1,beta2,holdout_model
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,lomo-llama-2-7b,ok,4561.57099792086,-3443.6612227777778,1.7549287787798065,0.20670242087961044,2.5613391899018922,71120.90917816013,-14881.911343272575,16.22660400913598,898.7193609137432,llama-2-7b
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,lomo-llama-2-7b,ok,4675.230160187726,-3002.4900639999996,1.6422122464831634,0.04242698456898508,2.328406522176321,62766.929511172326,-13180.271765939237,14.371208492340106,795.957262808793,llama-2-7b
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,lomo-llama-2-7b,ok,5038.638279881672,-3015.112731190476,1.598398329808522,0.18593039703135972,2.238706401844563,62766.929511172326,-13180.271765939237,14.371208492340106,795.957262808793,llama-2-7b
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,lomo-llama-2-7b,ok,4684.723604656756,-3050.0891970833336,1.651071323407736,0.03659472342641965,2.3476789708350836,62766.929511172326,-13180.271765939237,14.371208492340106,795.957262808793,llama-2-7b
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,lomo-llama-2-7b,ok,4092.5312723108796,-2750.6579192261906,1.6721165303821883,0.19414216310078772,2.385312631411825,47617.97831616568,-11983.20464399785,13.065977348836498,723.6663202015887,llama-2-7b
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,lomo-llama-2-7b,ok,3722.85792777915,-2739.1820577777776,1.7357739969980055,0.0831400911492004,2.516462245433364,47617.97831616568,-11983.20464399785,13.065977348836498,723.6663202015887,llama-2-7b
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,lomo-llama-2-7b,ok,3669.7311178867753,-2782.4569797222225,1.7582182155417718,0.046659211958914315,2.563758485263908,47617.97831616568,-11983.20464399785,13.065977348836498,723.6663202015887,llama-2-7b
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,lomo-codellama-34b,blis_failed,,,,,,,,,,codellama-34b
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,lomo-codellama-34b,ok,5320.605252511034,576125.4451794333,107.28193745580613,5492.224568541213,6.1704598895765015,71120.90917816013,2571.3262815361554,16.889742427921252,530.257051510581,codellama-34b
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,lomo-codellama-34b,ok,4605.497935959306,529830.0989221173,114.0429565466206,9333.217988600943,7.232985961061785,71120.90917816013,2571.3262815361554,16.889742427921252,530.257051510581,codellama-34b
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,lomo-codellama-34b,ok,4561.57099792086,434264.64319541666,94.20067612525426,7579.470515937301,7.542912419889173,71120.90917816013,2571.3262815361554,16.889742427921252,530.257051510581,codellama-34b
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,lomo-codellama-34b,ok,4675.230160187726,478945.072758,101.44310041385616,7856.332795509774,6.166519368447824,62766.929511172326,2277.313606284113,14.95852180018186,469.6259696422982,codellama-34b
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,lomo-codellama-34b,ok,5038.638279881672,566968.3169414256,111.52411573286032,8088.934793280405,5.6671626101133885,62766.929511172326,2277.313606284113,14.95852180018186,469.6259696422982,codellama-34b
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,lomo-codellama-34b,ok,4684.723604656756,371001.2519515278,78.19384007687057,5849.314900952489,6.372237841534627,62766.929511172326,2277.313606284113,14.95852180018186,469.6259696422982,codellama-34b
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,lomo-codellama-34b,ok,4092.5312723108796,558414.2677727914,135.44715962243058,10660.264856089416,6.456431405419997,55246.55223304123,2070.4819648093653,13.599949309581536,426.9732976904632,codellama-34b
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,lomo-codellama-34b,ok,3722.85792777915,425231.20884166664,113.22171275156232,8999.07948816668,7.181121110296971,55246.55223304123,2070.4819648093653,13.599949309581536,426.9732976904632,codellama-34b
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,lomo-codellama-34b,ok,3669.7311178867753,326503.3771155556,87.97201637584102,6807.711182689558,7.553097676268407,55246.55223304123,2070.4819648093653,13.599949309581536,426.9732976904632,codellama-34b
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,lomo-llama-2-70b,blis_failed,,,,,,,,,,llama-2-70b
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,lomo-llama-2-70b,ok,5320.605252511034,585544.9032878365,109.05231087412308,5561.0842969904415,7.97853450722889,76459.91054227337,-2089.9429885708732,15.492584186593477,720.6618781465194,llama-2-70b
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,lomo-llama-2-70b,ok,4605.497935959306,544823.7534289473,117.29855555357291,9564.526068954196,9.231396280792131,76459.91054227337,-2089.9429885708732,15.492584186593477,720.6618781465194,llama-2-70b
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,lomo-llama-2-70b,ok,4561.57099792086,507578.1232162042,110.27265660176191,9020.779557292275,9.379037792721283,76459.91054227337,-2089.9429885708732,15.492584186593477,720.6618781465194,llama-2-70b
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,lomo-llama-2-70b,ok,4675.230160187726,517730.5512851602,109.7390510298153,8605.908511365089,7.647402279339518,62766.929511172326,-1850.9730322466696,13.721118559700498,638.259373156201,llama-2-70b
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,lomo-llama-2-70b,ok,5038.638279881672,578811.7256922078,113.8746334904201,8232.65030599639,7.342181025729304,62766.929511172326,-1850.9730322466696,13.721118559700498,638.259373156201,llama-2-70b
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,lomo-llama-2-70b,ok,4684.723604656756,465666.75510333333,98.40111613851596,7354.192305496463,7.935967855917517,62766.929511172326,-1850.9730322466696,13.721118559700498,638.259373156201,llama-2-70b
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,lomo-llama-2-70b,ok,4092.5312723108796,572857.2982318224,138.97627876606404,10904.2056408542,8.332348590996244,47617.97831616568,-1682.8627686761863,12.474930302298754,580.2909697390078,llama-2-70b
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,lomo-llama-2-70b,ok,3722.85792777915,509177.0173415525,135.77046699584886,10942.23906356304,8.9073947893571,47617.97831616568,-1682.8627686761863,12.474930302298754,580.2909697390078,llama-2-70b
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,lomo-llama-2-70b,ok,3669.7311178867753,413148.29071541666,111.5827144941696,8632.586440257155,9.367006672823063,47617.97831616568,-1682.8627686761863,12.474930302298754,580.2909697390078,llama-2-70b
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,lomo-mixtral-8x7b-v0-1,ok,2071.1203091347243,-937.4550916666667,1.452631886004883,0.008917777997110111,1.9464548324970237,27128.83728152974,-4296.948411530705,6.691934042602755,454.87046641660385,mixtral-8x7b-v0-1
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,lomo-mixtral-8x7b-v0-1,ok,5320.605252511034,-1832.3033220833333,1.3443787379675622,0.3339584682293336,1.7303767496400466,71120.90917816013,-8573.539234892605,13.352163809462624,907.585899833367,mixtral-8x7b-v0-1
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,lomo-mixtral-8x7b-v0-1,ok,4605.497935959306,-1824.4166592222223,1.3961388506935035,0.23838668928868648,1.8342288397234001,71120.90917816013,-8573.539234892605,13.352163809462624,907.585899833367,mixtral-8x7b-v0-1
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,lomo-mixtral-8x7b-v0-1,ok,4561.57099792086,-1853.2771833333334,1.4062804643790587,0.29009431804186425,1.8558724801972397,71120.90917816013,-8573.539234892605,13.352163809462624,907.585899833367,mixtral-8x7b-v0-1
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,lomo-mixtral-8x7b-v0-1,ok,4675.230160187726,-1615.1756525555556,1.345475109719668,0.048464421525763406,1.728242238295788,63728.28977289169,-7593.216657812578,11.825439865398113,803.8099767437369,mixtral-8x7b-v0-1
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,lomo-mixtral-8x7b-v0-1,ok,5038.638279881672,-1622.1611076785714,1.321944346383338,0.10771917110484112,1.679067971747637,63728.28977289169,-7593.216657812578,11.825439865398113,803.8099767437369,mixtral-8x7b-v0-1
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,lomo-mixtral-8x7b-v0-1,ok,4684.723604656756,-1640.7377618055555,1.3502314971527056,0.04614380423152791,1.7388075365794073,63728.28977289169,-7593.216657812578,11.825439865398113,803.8099767437369,mixtral-8x7b-v0-1
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,lomo-mixtral-8x7b-v0-1,ok,4092.5312723108796,-1485.0544980357142,1.3628694319535808,0.11607600100096849,1.759405769701908,47617.97831616568,-6903.580649370429,10.751422157967763,730.8058298994378,mixtral-8x7b-v0-1
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,lomo-mixtral-8x7b-v0-1,ok,3722.85792777915,-1478.7040476666666,1.397195938269065,0.004375606090414854,1.8312998471280506,47617.97831616568,-6903.580649370429,10.751422157967763,730.8058298994378,mixtral-8x7b-v0-1
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,lomo-mixtral-8x7b-v0-1,ok,3669.7311178867753,-1501.9427480555555,1.4092786909468324,0.03383429701151532,1.857226873705377,47617.97831616568,-6903.580649370429,10.751422157967763,730.8058298994378,mixtral-8x7b-v0-1
